employer,headline,occupation,ai_industry,ai_locations,ai_technology
"Nordnet Bank AB","Product Designer",Interaktionsdesigner,Financial,"Stockholm, Oslo, Helsinki, Copenhagen","Figma ,Miro ,Sketch ,Abstract ,InVision"
"Nordnet Bank AB","Technical System Manager",Systemförvaltare,Financial,"Stockholm, Oslo, Helsinki, Copenhagen","Microsoft OS,MS SQL Database"
"Nordnet Bank AB","Technical Analyst","Civilingenjör, systemutveckling","Financial ,Fintech","Stockholm ,Oslo ,Helsinki ,Copenhagen","GCP ,BigQuery ,AI Notebook"
"Nordnet Bank AB","Data Engineer","Civilingenjör, systemutveckling",Fintech,"Stockholm ,Oslo ,Helsinki ,Copenhagen","GCP ,BigQuery ,Dataflow ,Composer"
"Nordnet Bank AB","Frontend Software Engineer",Frontend-utvecklare,"Financial Services","Stockholm, Oslo, Helsinki, Copenhagen","JavaScript (ES6+),CSS,HTML,ReactJS,NodeJS,TypeScript,NextJS,Hooks"
"Nordnet Bank AB","Backend Software Engineer","Civilingenjör, systemutveckling",Financial,"Stockholm, Oslo, Helsinki, Copenhagen","Java 11+,Spring Boot,Cloud Development,Infrastructure as Code,DevOps"
"Nordnet Bank AB","Product Designer",Interaktionsdesigner,Financial,"Stockholm, Oslo, Helsinki, Copenhagen","Figma ,Miro ,Sketch ,Abstract ,InVision"
"Nordnet Bank AB","Data Engineer",Systemarkitekt,Fintech,"Stockholm,Oslo,Helsinki,Copenhagen","GCP,BigQuery,Dataflow,Composer"
"Nordnet Bank AB","Software Engineer - Cloud Platform",Mjukvaruutvecklare,"Financial Services","Stockholm,Oslo,Helsinki,Copenhagen","Java,Spring Boot,PubSub,Docker,Kubernetes"
"Nordnet Bank AB","Fullstack Software Engineer",Systemutvecklare/Programmerare,"Financial Services","Stockholm,Oslo,Helsinki,Copenhagen","JavaScript (ES6+),CSS,HTML,ReactJS,NodeJS,Java,Spring Boot,jUnit,Maven"
"Nordnet Bank AB","Frontend Engineer",Frontend-utvecklare,"Investment Platform","Stockholm,Oslo,Helsinki,Copenhagen","JavaScript (ES6+),CSS,HTML,ReactJS,NodeJS,TypeScript,NextJS,Hooks"
"Nordnet Bank AB","Backend Software Engineer",Backend-utvecklare,"Financial Services","Stockholm, Oslo, Helsinki, Copenhagen","Java 11+,Spring Boot,Cloud Development,Infrastructure as Code,DevOps"
"Nordnet Bank AB","IT Support Engineer",Helpdesktekniker/Supporttekniker,"Financial Services","Stockholm, Oslo, Helsinki, Copenhagen","Active Directory,DNS/DHCP,VPN client"
"Nordnet Bank AB","App Developer",Applikationsutvecklare/Apputvecklare,"Financial Market","Stockholm,Oslo,Helsinki,Copenhagen","React Native,Redux,RESTful APIs,JavaScript (ES6),Mobile app development"
"Nordnet Bank AB","Engineering Manager","Civilingenjör, systemutveckling","Bank & Finance",Stockholm,"Agile methodologies,Coaching and facilitation"
"Nordnet Bank AB","Product Designer",Interaktionsdesigner,Financial,"Stockholm ,Oslo ,Helsinki ,Copenhagen","Figma ,Miro ,Sketch ,Abstract ,InVision"
"Nordnet Bank AB","Remote Software Engineer",Backend-utvecklare,"Financial Services","Stockholm, Oslo, Helsinki, Copenhagen","Java 11+,Spring Boot,Cloud Development,Infrastructure as Code,DevOps,JavaScript (ES6+),CSS,HTML,ReactJS,NodeJS,TypeScript,NextJS,Hooks"
"Nordnet Bank AB","Backend Software Engineer",Backend-utvecklare,"Financial Services","Stockholm, Oslo, Helsinki, Copenhagen","Java 11+,Spring Boot,Cloud Development,Infrastructure as Code,DevOps"
"Nordnet Bank AB","Data Scientist",Systemutvecklare/Programmerare,"Financial Services","Stockholm,Oslo,Helsinki,Copenhagen","Google Cloud Platform (GCP),Python,SQL,Machine Learning frameworks"
"Nordnet Bank AB","Lead Data Engineer",Systemanalytiker/Systemutredare,"Financial Services","Stockholm, Oslo, Helsinki, Copenhagen","Google Cloud Platform (GCP),SQL,Python,Java,DevOps,CI/CD"
"Nordnet Bank AB","Data Analyst",Systemanalytiker/Systemutredare,Financial/Fintech,"Stockholm,Oslo,Helsinki,Copenhagen","Google Cloud Platform (GCP),Qlikview,Looker,SQL,dbt/dataform"
"Nordnet Bank AB","Frontend Engineer",Frontend-utvecklare,"Financial Services","Stockholm, Oslo, Helsinki, Copenhagen","JavaScript (ES6+),CSS,HTML,ReactJS,NodeJS,TypeScript,NextJS,Hooks"
"Nordnet Bank AB","Fullstack Software Engineer",Backend-utvecklare,Financial,"Stockholm, Oslo, Helsinki and Copenhagen","JavaScript (ES6+),CSS,HTML,ReactJS,NodeJS,TypeScript,React hooks,Java,Spring Boot,jUnit,Maven,HTTP/RESTful APIs"
"Nordnet Bank AB","Frontend Platform Engineer",Frontend-utvecklare,"Financial Services","Stockholm, Oslo, Helsinki and Copenhagen","JavaScript (ES6+),CSS,HTML,TypeScript,NextJS,ReactJS,NodeJS,Nginx,Docker,Kubernetes,ArgoCD,GitHub actions"
"Nordnet Bank AB","Technical System Manager",Systemförvaltare,Financial,"Stockholm, Oslo, Helsinki and Copenhagen","Microsoft based,Abasec,IBM MQ,Windows OS,MS SQL databases"
"Nordnet Bank AB","Frontend Platform Engineer",Frontend-utvecklare,"Investment Platform","Stockholm,Oslo,Helsinki,Copenhagen","JavaScript (ES6+),CSS,HTML,TypeScript,NextJS,ReactJS,NodeJS,Nginx,Docker,Kubernetes,ArgoCD,GitHub actions"
"Nordnet Bank AB","Systems Engineer",Systemadministratör,Financial,"Stockholm, Oslo, Helsinki and Copenhagen","Microsoft Systems ,Azure Administration ,M365 ,SCOM ,Configuration Manager ,PKI ,Exchange ,Windows Clustering ,VMWare ,Automation and Alerting ,Network Devices (switches, routers, firewalls)"
"Avanza Bank AB","Javautvecklare till team Fonder",Backend-utvecklare,"Financial Services","Stockholm, Sweden","Java,Spring,Frontend development,Testdriven development,Agile processes"
"Avanza Bank AB","Utvecklare med fokus på frontend till Team Hitta & Få Hjälp",Systemutvecklare/Programmerare,"Financial Services","Stockholm, Sweden","JavaScript,CSS,HTML,Angular,React,Java,TypeScript,Progressive Web App (PWA)"
"Avanza Bank AB","Javautvecklare till Tjänsteplattform",Backend-utvecklare,"Financial Services","Stockholm, Sweden","Spring,RxJava,GRPC"
"Avanza Bank AB","Fullstackutvecklare till våra Produkt- och Kundreseteam",Mjukvaruutvecklare,Banking,"Stockholm, Sweden","Java,Javascript,Spring,TDD,CI"
"Avanza Bank AB","Javautvecklare till team Handelsplattform",Backend-utvecklare,"Financial Services","Stockholm, Sweden","Java,GigaSpaces inmemory-lösning,Agila utvecklingsmetoder,Orderhanteringssystem,Eventdriven arkitektur,Mikrotjänster"
"Avanza Bank AB","Javautvecklare till Avanza Tech",Backend-utvecklare,Banking,"Stockholm, Sweden","Spring,TDD,CI,MongoDB,Gigaspaces"
"Avanza Bank AB","Javautvecklare till Team Aktivera",Backend-utvecklare,"Financial Services","Stockholm, Sweden","Java,Frontend-utveckling,Eventdriven arkitektur,Spring"
"Avanza Bank AB","Javautvecklare till team Fonder",Backend-utvecklare,"Financial Services","Stockholm, Sweden","Java,Spring,Frontend development,Testdriven development,Agile processes"
"Avanza Bank AB","Erfaren drifttekniker till Avanza","Drifttekniker, data",Bank,Stockholm,"Systemförvaltning,Kapacitetsplanering,Teknisk implementation,Effektivisering av processer och rutiner,Systemdesign,Omvärldsbevakning,Microsofts systempark,Virtualisering (ex. VMware)"
"Avanza Bank AB","Javautvecklare till Team Prestandatest",Mjukvaruutvecklare,"Financial services","Stockholm, Sweden","Java platform,Microservices,Networking,Load balancing"
"Avanza Bank AB","Dags för en flytt? Vi söker Frontendutvecklare!",Frontend-utvecklare,"Financial Services","Stockholm, Sweden","JavaScript,CSS,HTML,Angular,React,Java,TypeScript,Progressive Web App (PWA)"
"Avanza Bank AB","Produktägare sökes till nytt Flytta-team!","Projektledare, IT","Financial Services","Stockholm, Sweden","Aktiehandel,Fondsparande,Sparkonton,Pension,Bolån,PSD2/Open Banking,Betalningar"
"Avanza Bank AB","Systemutvecklare/Delivery Engineer till Leveransplattformsteamet",Systemutvecklare/Programmerare,"Financial Services","Stockholm, Sweden","CI/CD,DevOps,Java"
"AFA Försäkring","Service Manager/Applikationsansvarig till AFA Försäkring",Systemansvarig,Insurance,"Stockholm, Sweden","* ITIL-processer,* Informations- och IT-säkerhet,* Avtal- och licenshantering"
"Avanza Bank AB","Utvecklare med fokus på frontend till Team Hitta & Få Hjälp",Mjukvaruutvecklare,"Financial Services","Stockholm, Sweden","JavaScript,CSS,HTML,Angular,React,Java,TypeScript,Progressive Web App (PWA)"
"Avanza Bank AB","Fullstackutvecklare till våra Produkt- och Kundreseteam",Mjukvaruutvecklare,"Financial Services","Stockholm, Sweden","Java,Javascript,Spring,TDD,CI"
"Avanza Bank AB","Javautvecklare till Tjänsteplattform",Backend-utvecklare,"Financial Services","Stockholm, Sweden","Spring,RxJava,GRPC"
"Avanza Bank AB","Javautvecklare till Avanza Tech",Backend-utvecklare,"Financial Services","Stockholm, Sweden","Spring,TDD,CI,MongoDB,Gigaspaces"
"Avanza Bank AB","Team Testmiljöer söker en Site Reliability Engineer","Drifttekniker, data","Financial Services","Stockholm, Sweden","Java,Python,Agile Methodologies"
"Avanza Bank AB","Site Reliability Engineer","Driftledare, IT","Financial Services","Stockholm, Sweden","Linux,Java,Python"
"Avanza Bank AB","Galaktisk cyberjägaransvarig till IT-SÄK på Avanza","Säkerhetsanalytiker, IT","Financial Services","Stockholm, Sweden","Applikationssäkerhet,Sårbarhets- och bristhantering,Nätverkssäkerhet,Penetrations- och webbapplikationstestning,Etisk hackning,Bug bounty program,Finansiella IT-system,Programmeringsspråk,OWASP top 10,GDPR,NIST,TIBER-SE,ISO27000,CIS CSC,Omvärldsbevakning,Hotmodellering,Attackträd"
"Avanza Bank AB","Javautvecklare till team Marketing Automation",Backend-utvecklare,"Financial Services","Stockholm, Sweden","Java,Data and Service Architecture,Data Modeling and SQL,Marketing Automation Systems (e.g. Braze, Salesforce Marketing Cloud, Apsis, Adobe Campaign)"
"Avanza Bank AB","Utvecklare med fokus på frontend till Team Hitta & Få Hjälp",Mjukvaruutvecklare,"Financial Services","Stockholm, Sweden","JavaScript,CSS,HTML,Angular,React,Java,TypeScript,Progressive Web App (PWA)"
"Avanza Bank AB","Javautvecklare till Team Prestanda",Systemtestare,"Financial services",N/A,"Microarchitecture,Java platform,Lasttestning,Komplexa mikrotjänstmiljöer,Infrastruktur som nätverk, lastbalanserare och liknande"
"Avanza Bank AB","Access management engineer","Säkerhetsadministratör, IT","Financial Services","Stockholm, Sweden","Identitetshantering så som IGA, PAM och federationslösningar,Autentiseringsmetoder så som SAML, SLL-kryptering och signaturvalideringsmetoder,Behörighetsstyrning i finansiell verksamhet,Integrationserfarenheter mellan system,Sinne för programmering"
"Avanza Bank AB","Dags för en flytt? Vi söker Javautvecklare till Team Flytta!",Backend-utvecklare,"Aktiehandel, Fondsparande, Sparkonton, Pension och Bolån",N/A,"Java,Mikrotjänstmiljöer"
"Avanza Bank AB","Är du vår Infrastructure Automation Engineer?",IT-arkitekt/Lösningsarkitekt,"Financial Services",Sweden,"Linux,Java,Python,Agile"
"Avanza Bank AB","Javautvecklare till team Cash Integration",Backend-utvecklare,Finans/Ekonomi,N/A,"Java,Test Automation,Integrationer mot olika betallösningar som Autogiro, Bankgiro eller Mastercard"
"Avanza Bank AB","Supporttekniker sökes till interndriften",Helpdesktekniker/Supporttekniker,"Financial Services","Centrala Stockholm, Sweden","Windows Server ,Microsoft SQL"
"Avanza Bank AB","Javautvecklare till team Börsdata och Beslutsstöd",Backend-utvecklare,"Financial Services","Stockholm, Sweden","Java,Spring,Spring Boot,Spring Data,Gigaspaces,Elasticsearch,MongoDB,GRPC,Kafka,Splunk,Grafana"
"Avanza Bank AB","Utvecklare till Team Ränta",Systemutvecklare/Programmerare,"Financial Services","Stockholm, Sweden","JavaScript,CSS,HTML,Angular,React,Java"
"Avanza Bank AB","Javautvecklare till team Open Banking",Backend-utvecklare,"Financial Services","Stockholm, Sweden","Java,OAuth2,Other development languages,Mobile development,Frontend development,Test-driven development,Agile processes"
"Avanza Bank AB","Är du vår Senior Tooling & Automation Engineer?",Systemadministratör,"Financial Services","Stockholm, Sweden","Linux,Java,Python"
"Nordea Bank AB","Test Manager, Credit Risk & General Ledger IT Solutions, Stockholm",Testledare,Banking,Stockholm,"HP QC (ALM),IEEE 829 Standard for Software Test Documentation,ISO 9126 Standard for Software Quality Attributes,BS 7925-2 Standards for Software Component Testing,SQL,Teradata/Oracle/Hadoop/SAS/MSSQL"
"Nordea Bank AB","Project Lead, Credit Risk & General Ledger IT Solutions, Stockholm","Projektledare, IT",Banking,Stockholm,"IT ,Management ,Program Governance ,Project Management Office (PMO) ,System Tests ,Integration Tests"
"Nordea Bank AB","Operations Lead, Credit Risk & General Ledger IT Solution, Tri-City, Poland",IT-tekniker/Datatekniker,Banking,"Tri-City, Poland, with travelling to Stockholm","HP QC (ALM)/Remedy,System Development Process (SDP),Security and Compliance"
"Nordea Bank AB","Developer & Technology Engineering Expert",Applikationsutvecklare/Apputvecklare,"Financial Services","Stockholm, Oslo, Helsinki and Copenhagen","JEE,SOA,Microservices,Containers"
"Nordea Bank AB","Multi-skilled Senior IT Analyst, Global Cash Pool solutions",Systemanalytiker/Systemutredare,Banking,"Stockholm or Oslo","Java ,J2EE ,IBM Mainframe ,z/OS ,DB2 ,Cobol ,Agile methods ,V3 Certificate"
"Nordea Bank AB","IT Project Manager to Group Functions IT, Nordea","Projektledare, IT",Banking,"Nordic countries","Anti Money Laundering (AML) ,Know Your Customer (KYC) ,Financial Anti-Crime Operating Model ,PMI or Prince2 certification"
"Nordea Bank AB","Senior IT Analyst in Financial Anti-crime IT",Systemanalytiker/Systemutredare,"Banking/Financial Institutions",Stockholm,"Use Case Analysis,Agile methods (Product Backlogs, Epic/User Story/Business Rule definition),Requirements repositories (Jira),IT Systems Development Lifecycle,Programming (Java, C, Python),Information modelling,XML file structures,Database interaction (SQL),MS Office programs (Excel),Payment systems and formats (SEPA, SWIFT),Financial Anti-Crime/Anti Money-Laundering systems (BAE Systems Netreveal)"
"Nordea Bank AB","Senior IT Developer to Business Reporting IT",IT-strateg,"Financial Services",Nordea,"Teradata Data Warehouse ,CPS Semantic Layer"
"Nordea Bank AB","Senior IT & Software Analyst",Systemanalytiker/Systemutredare,"Financial Anti-Crime",Nordea,"Data, process or information modelling,Agile IT development such as Scrum,Software as a Service,Customer off-the-shelf applications,Visio, Mega, and MS Office"
"Nordea Bank AB","Business Architect, Nordea",IT-arkitekt/Lösningsarkitekt,"Financial Services",Nordea,"Business Architecture,Change Management,Capability Modelling,Process Design,Business Modelling,Third Party Providers,IT Initiatives,Business Leaders and Managers"
"Nordea Bank AB","Senior Scrum Master, Products IT, Stockholm",IT-metodansvarig,"Wealth Management","Nordea, Sweden","Fund Distribution Platform ,Agile Development Process ,Scrum Master"
"Nordea Bank AB","Expert in Oracle EPM - Planning",IT-strateg,"Financial Services","Stockholm, Sweden","Oracle Enterprise Performance Management (EPM) platform,Essbase,BI solutions (OLAP databases/reports),Relational databases,Building cubes based on OLAP technologies and dimensional modelling,Microsoft Office tools,MS SQL server,Teradata,Controlling or financial planning,Integration tools"
"Nordea Bank AB","IT Solution Architect, Group Functions IT",Systemansvarig,Banking,"Nordic region","KYC tools,CRM tools,Enterprise Architecture concepts and tools"
"Nordea Bank AB","Senior IT Architect",IT-strateg,"IT Solutions",N/A,"SAP,AIX/Linux,IBM DB2,IBM Infosphere,SAS,Mainframe,Windows Server,SAP HANA"
"Nordea Bank AB","Backup Specialist in Veritas Netbackup",Datasäkerhetsansvarig,"Financial Services",Nordea,"Veritas Netbackup,Tivoli Storage Manager (TSM)"
"Nordea Bank AB","Business Intelligence & Process Specialist",IT-strateg,Banking,Nordea,"Database skills,BI tools,SQL scripts,SAS"
"Nordea Bank AB","Business Intelligence Solution Architect",IT-strateg,Banking,Stockholm,"SAP BusinessObjects BI 4.x Suite,Data Warehouse design,Different data modelling concepts (Kimball and Inmon),SAP BusinessObjects technical platform architecture"
"Nordea Bank AB","Senior IT Analyst to Business Reporting IT",IT-strateg,Banking,Nordea,"Data Warehouse ,Data Modeling ,CPS Semantic Layer ,RACE Semantic Layer ,Teradata Data Warehouse"
"Nordea Bank AB","BI Architect / IT Analyst, Stockholm","Metodanalytiker, IT","Financial Services",Nordea,"BI Architecture,IT Analyst,Big Data Platform,Domain Information Architectures,Conceptual Modeling,Third Party Providers,BI/Data Modelling,Architectural Design,Business and IT Initiatives,Complex Change and Transformation Projects,Capability Modelling,Developing Roadmaps"
Nordea,"Business Project Manager to Nordea",IT-strateg,Banking,"Stockholm or Helsinki","Data Warehousing,Business Intelligence,Data Management"
"Nordea Bank AB","IT Manager for Nordea",IT-strateg,Banking,Stockholm,"Application/Systems Development,Service Management,Treasury IT Solutions"
"Nordea Bank AB","Solution Architect Expert Developer, Stockholm",IT-arkitekt/Lösningsarkitekt,Financial,Stockholm,"Java ,.NET ,Service-oriented architecture ,Mainframe platforms ,Oracle SOA Suite ,OSB (Oracle Service Bus)"
"Nordea Bank AB","IT Analysis Coordinator/IT Expert Developer",IT-strateg,Banking,N/A,"Global Accounting Interface ,General Purpose Data Warehouse ,Infogix tools ,Agile development ,Data projects ,Global Systematic Important Bank (GSIB)"
"Nordea Bank AB","Expert IT Developer SAP-FICO, SAP BW",IT-strateg,"Not mentioned","Not mentioned","SAP FICO,SAP BW,ABAP,HANA Modelling,SQL Scripting"
"Nordea Bank AB","Expert IT Developer SAP BW, SAP HANA, SAP BOBJ",IT-strateg,Banking,Nordea,"SAP BusinessObjects BI 4.x Suite,SAP Business Warehouse,HANA,ABAP,VBA,SQL Scripting"
"Nordea Bank AB","IT Expert Developer, Nordea, Stockholm",Systemutvecklare/Programmerare,Banking,Stockholm,"Infogix Tools,Reconciliation,Automated Controls,Matching,Error Correction"
"Nordea Bank AB","Expert IT Developer SAP Bank Analyzer",IT-strateg,"Financial Services",Nordea,"SAP Bank Analyzer,SAP,SAS ECC,HANASQL Scripting"
"Nordea Bank AB","Senior Java Developer - Calypso",Mjukvaruutvecklare,"Capital Markets Services","Stockholm, Sweden","Linux (Redhat),Git,Gradle,Java,Eclipse,Tomcat,JBoss,SonarQube,PMD,FindBugs"
"Nordea Bank AB","Production Services Specialist to Nordea Bank AB",IT-strateg,Banking,"GC Bank","ITIL,Teradata,Data stage,TWS"
"Nordea Bank AB","Release Manager to Group Functions IT",IT-strateg,"ITGF Services for the Group Function Reporting Flows","Group Functions IT","Release Management ,Change Management ,Quality Assurance ,Operations ,Technical Project Management ,Development ,Testing"
"Nordea Bank AB","Change Manager to Nordea, Group Functions IT",IT-strateg,Banking/Financial,N/A,"ITIL ,Agile Methodologies ,Data Warehouse ,Remedy or another IT Service Management Tool ,Excel ,ISO 20.000"
"Nordea Bank AB","Senior IT Operational Quality Specialist, Nordea",IT-strateg,Banking,"Stockholm and Helsinki","Incidents process,Problem process,Change processes,Service level and configuration management process,Road maps,Cost control"
"Nordea Bank AB","Senior IT & Software Analyst, Stockholm",Systemanalytiker/Systemutredare,Banking,"Nordic region","Data, process or information modelling,Agile IT development such as Scrum,Software as a Service,Customer off-the-shelf applications,Visio, Mega, and MS Office"
"Nordea Bank AB","Senior Security Specialist in Group IT, Nordea","Säkerhetsansvarig, IT","Financial Services","Any of the Nordic countries","Priviliged Access Management (PAM),CyberArk,Access Management,Identity Management,Access Control Systems"
"Nordea Bank AB","Infrastructure Operations Expert",Systemförvaltare,"IT Operations","Copenhagen (DK) ,Stockholm (SE) ,Gdynia (PL)","RHEL ,SLES ,Solaris ,AIX ,IBMi"
Nordea,"IT Developer with Focus ALM skills to Nordea   ",Systemutvecklare/Programmerare,Banking,"Stockholm, Sweden","SQL Server,Focus ALM application,Application design,Solution architecture,Infrastructure development"
"Nordea Bank AB","Equity Production Support",Systemansvarig,"Financial IT, Equity & Credit Research","Nordea, Nordic region","MS Office,Oracle,MS SQL,VBA,MS CRM"
"Nordea Bank AB","Software Engineer, Nordea, Stockholm","Civilingenjör, systemutveckling",Banking,Stockholm,"Agile methodologies,Lean and continuous improvements,Modern Java (8 and relevant frameworks) or another object oriented language such as C# (6),Microservice architecture style,RESTful API services,Play, Scalatra, Spring Boot or similar API frameworks (WebAPI, etc.),JavaScript libraries/frameworks (e.g. AngularJS, ReactJS, JQuery, lodash, Underscore),HTML and CSS including Sass and/or Less,Native app development in (IOS, Android or Windows Phone),Web servers such as Nginx, Apache HTTP, Jetty, Tomcat, NodeJS etc.,Linux,Gradle and/or Maven build tools,Git"
"Nordea Bank AB","SOA Developers, Nordea, Stockholm",Mjukvaruutvecklare,"Financial Services","Nordea (Nordic and Baltic region)","Oracle SOA Suite 12c,XML,XSLT,XQUERY,SOAP,JMS,REST integration,JAVA,Oracle Service BAS,Continuous integrations,Automated testing"
"Scania IT","Lösningsarkitekt Microsoft Dynamics AX till Scania IT",IT-arkitekt/Lösningsarkitekt,Automotive,"Sverige,Holland,Frankrike,Belgien,Latinamerika,Indien","Microsoft Dynamics AX,Integrationer"
"Nordea Bank AB","Senior Java developer, Calypso",Mjukvaruutvecklare,"Capital Markets Services","Central Stockholm","Linux (Redhat),Git,Gradle,Java,Eclipse,Tomcat,JBoss,SonarQube,PMD,FindBugs"
"Nordea Bank AB","IT Developer, Collateral",Systemutvecklare/Programmerare,"Financial Services",Nordea,"Oracle Service Bus (OSB),Oracle BPEL,Java,Scripting,XML,XSLT,XSD programming,Deployment and integration test automation,Java Web/ REST service development"
"Nordea Bank AB","IT Infrastructure Specialist, Capital Efficiency",IT-arkitekt/Lösningsarkitekt,"IT Retail Banking","Copenhagen,Gothenburg,Stockholm","Oracle databases,WebLogic,Linux,Windows command line,ElasticSearch,Talend,log4j,Automated deployments,Continuous integration,OSB and webservices,Load balancers,Confluence,Jira,Remedy,InfoSphere,FTP,SSO solutions"
"Nordea Bank AB","Senior IT Developer in Financial Anti-crime IT",Systemutvecklare/Programmerare,"Financial Anti-Crime (FAC)",Stockholm,"AIX/Linux,SQL & IBM DB2,Weblogic,Java/C,JRE/JDBC,XML,IBM PowerHA,Mainframe environments,Job scheduled tools such as TWS and UC4,SWIFT and SEPA,Anti-money laundering software solutions"
"Nordea Bank AB","Senior Operation Quality Specialist",Systemförvaltare,"IT Operations","Copenhagen (DK) ,Stockholm (SE) ,Gdynia (PL)","Unix ,Linux ,RHEL ,SLES ,Solaris ,AIX ,IBMi"
Nordea,"Solution Architect to Nordea",IT-strateg,Banking,Stockholm,"Enterprise Data Warehousing,'Traditional' BI Tools,Metadata and Master Data Management,Batch and Real-Time Systems"
"Nordea Bank AB","Infrastructure Operations Expert - Team Lead",Systemförvaltare,"IT Operations","Copenhagen (DK),Stockholm (SE),Gdynia (PL)","Linux,Solaris,AIX,IBMi"
"Nordea Bank AB","Senior Operation Quality Specialist - Team Lead",Systemförvaltare,"IT Operations","Copenhagen (DK) ,Stockholm (SE) ,Gdynia (PL)","Linux ,Solaris ,AIX ,IBMi"
"Nordea Bank AB","Senior IT Test Managers for Financial Anti-Crime",Systemtestare,"Financial Anti-Crime (FAC)","Stockholm (other Nordic capitals may be considered)","Test Management,Systems Development Lifecycle,Agile methods,Testing tools (QC, Jira),Payment models (SEPA, SWIFT),Financial Anti-crime/Fraud applications (BAE Systems Netreveal, FICO)"
"Nordea Bank AB","Senior IT Analyst, Nordea Customer Masterdata SE",IT-strateg,Banking,"Stockholm (Gothenburg is also a potential alternative)","Java,Mainframe platforms,Service-oriented architecture,Agile development methods,Different integration patterns"
"Nordea Bank AB","Data Modeller/Senior Database Developer, Nordea",Databasutvecklare,Banking,Stockholm,"Database/Data Warehouse Solutions,Data Modelling,Financial Data Model,Teradata"
"Scania CV AB","Data Scientist - Drive Connectivity at Scania!",Systemutvecklare/Programmerare,"Manufacturing of trucks and buses, industrial and marine engines, maintenance and service, and financial services.",Sweden,"IoT communication platform,Coding skills (such as R, Python, Java, or Scala),Analytics tools (such as Pandas, R, SPSS, SQL, Hive),Statistical or machine learning techniques (decision trees, probability networks, association rules, clustering, regression, and neural networks),Data modelling on Hadoop clusters,Tools in the Hadoop ecosystem,Stream processing"
"Nordea Bank AB","Senior IT Developers to Group Treasury IT Solutions",Databasutvecklare,"Financial Services",Stockholm,"Teradata ,Microgen products"
"Nordea Bank AB","Senior IT Project Manager","Processansvarig, ITIL",Banking,"Nordic Region","AML ,KYC ,IT Solutions"
"Nordea Bank AB","IT Developer, Collateral, Stockholm",Systemutvecklare/Programmerare,Banking,"Stockholm, Sweden","Oracle SOA Suite,OSB (Oracle Service Bus),Java,Scripting,XML,XSLT,XSD"
"Nordea Bank AB","Expert IT Developer, Nordea",IT-strateg,"Retail Banking",Stockholm,"Oracle Service Bus (OSB),Oracle BPEL,Java,Scripting,XML,XSLT,XSD programming"
"Nordea Bank AB","Senior Project Methods Expert, Nordea",IT-strateg,"Financial Services",Sweden,"Clarity,Strategic reporting and analysis platform,Agile development,Information Technology/Computer Science,Finance/Economics"
"Nordea Bank AB","Chief Expert IT Developer, Nordea, Stockholm",Mjukvaruutvecklare,"Banking/Financial Services","Nordea Group IT","Java,Python,Node.js,Angular,Docker,Puppet,RedHat VMs,Swagger,Bamboo,Atlassian tools,Apigee"
"Nordea Bank AB","Expert IT Developer, Collateral",Systemutvecklare/Programmerare,"Financial Services",Nordea,"Oracle Service Bus (OSB),Oracle BPEL,Java,Scripting,XML,XSLT,XSD programming,Integration design patterns,Process flow design,Composite service design,Deployment and integration test automation,Java Web/REST service development"
"Nordea Bank AB","Senior IT Analyst, Collateral, Nordea",Systemanalytiker/Systemutredare,"Retail Banking","Nordics and offshore location in India","Agile software development,SAFe,Datastage for data cleansing and data migration"
"Nordea Bank AB","System Tester to Digital Banking Engineering in Sweden, Stockholm",Systemtestare,"Digital Banking","Oslo, with colleagues in the Nordic countries - primarily in Helsinki, Stockholm, Oulu and Copenhagen","Agile software development,Test tools and best practices,IT environments (mainframes, UNIX, Windows),Web applications, Web Services and Service Oriented Architectures,Front end solutions (iOS/Android),Cucumber/Java"
"Nordea Bank AB","System Tester, Stockholm",Systemtestare,Banking,Stockholm,"Test Analysis,Test Scenarios and Test Scripts,Manual and Automated Test Cases,Component, Integration and System Level Testing,Business Requirements and System Designs,Web Applications, Web Services and Service Oriented Architectures,Front End Solutions (e.g. applications on iOS/Android),Test Tools,Agile Software Development,Mainframes, UNIX and Windows,TestRail, Cucumber, CA Agile Central (former Rally), Confluence, Splunk and Jenkins"
"Nordea Bank AB","Java Developer to Digital Banking, Stockholm",Systemutvecklare/Programmerare,"Digital Banking",Stockholm,"Java,Spring,Spring Boot,RESTful Web Services,Soap,JavaScript,AngularJS,HTML,CSS,OAuth2,OpenID Connect,Spring Security,SAML2,SASS,RxJava,Jetty,Oracle DB,Git,Jenkins,OpenAPI specification (Swagger),TDD,Unit tests"
"Nordea Bank AB","Data Scientist to Nordea Life & Pensions",Datorlingvist/Datalingvist,"Financial Services","Stockholm, Oslo/Bergen, Helsinki or Copenhagen","Machine Learning ,Deep Learning ,Robotic Process Automation ,Chatbots ,Artificial Intelligence ,R ,Python"
"Nordea Bank AB","Test Manager/Team Leader to Nordea Group Functions IT, Stockholm",Testledare,"Banking & Finance",Europe,"Automation frameworks,Regression testing suits,DWH testing,HP QC (ALM),ISTQB Software Testing"
"Nordea Bank AB","Senior Teradata Developer, Group Treasury IT Solutions, Stockholm","Data Warehouse specialist",Banking,Stockholm,"Teradata,ETL tool (e.g. Datastage)"
"Nordea Bank AB","Senior IT Test Manager, Stockholm",Testledare,"Financial Services","Stockholm, Lindhagen","Selenium Cucumber ,Robot Framework ,TestNG ,Bamboo ,Zephyr ,Confluence ,Jira"
